ITEM SKU,titre du produit,type de bijoux,stone cut type,pierres secondaires,description ,10k/1ct,"10k 1,5ct",10k/2ct,"10k/2,5ct",10k/3ct,"10k/3,5ct",10k/4ct,,14k/1ct,"14k/1,5ct",14k/2ct,"14k/2,5ct",14k/3ct,"14k/3,5ct",14k/4ct,,18k/1ct,"18k/1,5ct",18k/2ct,"18k/2,5ct",18k/3ct,"18k/3,5ct",18k/4ct
R-390571,Oval Diamond Engagement Ring (Pave Band),bague ,round,,Classic oval solitaire perched on a slender white gold band set with micro-pave diamonds.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-395399,Round Diamond Halo Ring (Double Shank),bague ,round,,Brilliant round diamond halo ring featuring a dramatic split shank design for maximum sparkle.,2299,2631,3019,3349,3664,4199,4649,,2714,3046,3434,3764,4079,4614,5064,,3249,3581,3969,4299,4614,5149,5599
R-410210,Marquise Diamond Bypass Ring,bague ,marquise,,Avant-garde sculptural setting holding a stunning marquise diamond in a floating bypass design.,1789,2121,2509,2839,3154,3689,4139,,2204,2536,2924,3254,3569,4104,4554,,2739,3071,3459,3789,4104,4639,5089
R-410354,Oval Diamond Solitaire Ring,bague ,oval,,Minimalist luxury featuring a brilliant oval cut diamond set in a sleek yellow gold mounting.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-418126,Nature Inspired Ring with Sapphires & Diamonds,bague ,round,,Artistic vine and leaf ring featuring a round diamond center with deep blue sapphire accents.,1899,2231,2619,2949,3264,3799,4249,,2314,2646,3034,3364,3679,4214,4664,,2849,3181,3569,3899,4214,4749,5199
R-427796,3-Stone Emerald Cut Diamond Ring (Baguettes),bague ,emerald,,Sophisticated 3-stone design featuring a crisp emerald cut diamond flanked by tapered baguettes.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-438932,Radiant Cut Diamond Engagement Ring (Pave),bague ,radiant,,Dazzling elongated radiant cut diamond sitting atop a shimmering micropave diamond band.,1789,2121,2509,2839,3154,3689,4139,,2204,2536,2924,3254,3569,4104,4554,,2739,3071,3459,3789,4104,4639,5089
R-441586,Oval Diamond Ring with Marquise Accents,bague ,oval,,Elegant oval solitaire enhanced by floral-inspired marquise and round diamond accents.,1684,2016,2404,2734,3049,3584,4034,,2099,2431,2819,3149,3464,3999,4449,,2634,2966,3354,3684,3999,4534,4984
R-453000,Diamond Semi-Mount with Sapphire Accents,bague ,oval,,Unique ring setting featuring graduated blue sapphires detailing the shank.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-460374,Round Diamond Halo Engagement Ring,bague ,round,,Classic round brilliant diamond surrounded by a precise diamond halo and pave band.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-461474,Oval Diamond Solitaire Engagement Ring,bague ,oval,,Timeless oval cut diamond set in a rich yellow gold mounting.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-469533,Oval Diamond Solitaire Engagement Ring,bague ,oval,,Warm and romantic oval diamond solitaire with a gold setting.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-470260,Emerald Cut Diamond Ring with Baguette Channel Band,bague ,emerald,,Art Deco inspired masterpiece featuring an emerald cut center and bold baguette channel band.,1999,2331,2719,3049,3364,3899,4349,,2414,2746,3134,3464,3779,4314,4764,,2949,3281,3669,3999,4314,4849,5299
R-472084,Sculptural 'Eye' Ring with Oval Diamond,bague ,oval,,Avant-garde modern art ring featuring an eye-shaped bezel holding an oval diamond and gemstone.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-475766,Round Diamond 3-Stone Ring with Pear Accents,bague ,round,,Classic 3-stone ring highlighting a round brilliant center flanked by pear shape diamonds.,1359,1691,2079,2409,2724,3259,3709,,1774,2106,2494,2824,3139,3674,4124,,2309,2641,3029,3359,3674,4209,4659
R-478533,Oval Diamond Ring with Marquise Accents,bague ,oval,,Elegant oval center stone set on a band adorned with delicate marquise diamond motifs.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-482456,Heart Shape Diamond Eternity Band,bague ,hearth,,Romantic eternity ring composed of continuous heart shaped diamonds.,1975,2307,2695,3025,3340,3875,4325,,2390,2722,3110,3440,3755,4290,4740,,2925,3257,3645,3975,4290,4825,5275
R-487900,Wide Band Emerald Cut Diamond Ring (Retro),bague ,emerald,,Bold and substantial yellow gold ring featuring an east-west emerald cut diamond and channel set sides.,1956,2288,2676,3006,3321,3856,4306,,2371,2703,3091,3421,3736,4271,4721,,2906,3238,3626,3956,4271,4806,5256
R-492310,Marquise & Pear 3-Stone Engagement Ring,bague ,marquise,,Dramatic 3-stone engagement ring featuring a marquise center and pear shape side stones.,1678,2010,2398,2728,3043,3578,4028,,2093,2425,2813,3143,3458,3993,4443,,2628,2960,3348,3678,3993,4528,4978
R-503301,Bezel Set Radiant Cut Diamond Ring,bague ,radiant,,Modern and protective bezel setting holding a stunning elongated radiant cut diamond.,1382,1714,2102,2432,2747,3282,3732,,1797,2129,2517,2847,3162,3697,4147,,2332,2664,3052,3382,3697,4232,4682
R-511720,Celestial Marquise Diamond Ring (Star Set),bague ,marquise,,Bohemian wide band featuring a flush-set marquise diamond and starry accents.,1672,2004,2392,2722,3037,3572,4022,,2087,2419,2807,3137,3452,3987,4437,,2622,2954,3342,3672,3987,4522,4972
R-514609,Oval Diamond Engagement Ring (Pave),bague ,round,,Timeless oval diamond solitaire set on a sparkling micropave diamond band.,1579,1911,2299,2629,2944,3479,3929,,1994,2326,2714,3044,3359,3894,4344,,2529,2861,3249,3579,3894,4429,4879
R-518423,Marquise Diamond Engagement Ring (Pave),bague ,marquise,,Elegant marquise diamond set vertically on a delicate diamond accented band.,1489,1821,2209,2539,2854,3389,3839,,1904,2236,2624,2954,3269,3804,4254,,2439,2771,3159,3489,3804,4339,4789
R-541316,Pear Shaped Diamond Engagement Ring (Pave),bague ,pear shape,,Classic pear cut diamond set in yellow gold with a diamond-encrusted shank.,1459,1791,2179,2509,2824,3359,3809,,1874,2206,2594,2924,3239,3774,4224,,2409,2741,3129,3459,3774,4309,4759
R-549234,Marquise Diamond Ring (Vintage Scrollwork),bague ,marquise,,Exquisite marquise solitaire ring featuring a hand-engraved vintage style scrolling band.,1439,1771,2159,2489,2804,3339,3789,,1854,2186,2574,2904,3219,3754,4204,,2389,2721,3109,3439,3754,4289,4739
R-568023,Oval Diamond Engagement Ring (Pave Band),bague ,oval,,Graceful oval diamond set in white gold with a shimmering micropave band.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-577143,Classic Round Diamond Solitaire Ring,bague ,round,,The quintessential engagement ring: a brilliant round solitaire in a timeless 4-prong setting.,1299,1631,2019,2349,2664,3199,3649,,1714,2046,2434,2764,3079,3614,4064,,2249,2581,2969,3299,3614,4149,4599
R-583544,Round Diamond 3-Stone Ring with Tapered Baguettes,bague ,round,,Traditional elegance featuring a round brilliant center flanked by channel set tapered baguettes.,1459,1791,2179,2509,2824,3359,3809,,1874,2206,2594,2924,3239,3774,4224,,2409,2741,3129,3459,3774,4309,4759
R-589838,Oval Diamond Halo Engagement Ring,bague ,oval,,Radiant oval diamond surrounded by a halo and set in rich yellow gold.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-593292,Oval Diamond Engagement Ring (Pave),bague ,oval,,Romantic rose gold setting hosting a brilliant oval diamond and pave band.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-613920,Princess Cut Solitaire Ring,bague ,pincess,,Timeless solitaire ring featuring a square princess cut diamond in a sleek white gold setting.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-620713,Round Diamond Split Shank Halo Ring,bague ,round ,,Glamorous rose gold bridal ring featuring a round diamond halo and shimmering split shank pave band.,1679,2011,2399,2729,3044,3579,4029,,2094,2426,2814,3144,3459,3994,4444,,2629,2961,3349,3679,3994,4529,4979
R-624095,Marquise & Pear 3-Stone Engagement Ring,bague ,marquise,,Classic 3-stone design with a marquise center flanked by matching pear shape diamonds.,1539,1871,2259,2589,2904,3439,3889,,1954,2286,2674,3004,3319,3854,4304,,2489,2821,3209,3539,3854,4389,4839
R-625153,Radiant Cut Diamond Engagement Ring (Pave Band),bague ,radiant,,Modern radiant cut solitaire set on a delicate diamond pave band for extra sparkle.,1629,1961,2349,2679,2994,3529,3979,,2044,2376,2764,3094,3409,3944,4394,,2579,2911,3299,3629,3944,4479,4929
R-629718,Radiant Cut Diamond Solitaire Ring,bague ,radiant,,Showcases the fire of a radiant cut diamond in a warm and romantic rose gold solitaire setting.,1529,1861,2249,2579,2894,3429,3879,,1944,2276,2664,2994,3309,3844,4294,,2479,2811,3199,3529,3844,4379,4829
R-635948,Radiant Cut 3-Stone Ring with Trapezoid Diamonds,bague ,radiant,,Impressive 3-stone ring featuring a radiant center flanked by brilliant trapezoid side stones.,2119,2451,2839,3169,3484,4019,4469,,2534,2866,3254,3584,3899,4434,4884,,3069,3401,3789,4119,4434,4969,5419
R-636398,Marquise Diamond Engagement Ring (Pave),bague ,marquise,,Elegant marquise diamond set on a sparkling micropave band for a refined look.,1598,1930,2318,2648,2963,3498,3948,,2013,2345,2733,3063,3378,3913,4363,,2548,2880,3268,3598,3913,4448,4898
R-641573,Oval Diamond 3-Stone Ring with Pear Accents,bague ,oval,,Stunning oval center diamond flanked by two pear shaped side stones in yellow gold.,1589,1921,2309,2639,2954,3489,3939,,2004,2336,2724,3054,3369,3904,4354,,2539,2871,3259,3589,3904,4439,4889
R-654394,Pear Shaped Diamond Engagement Ring (Pave),bague ,pear shape,,Feminine pear cut diamond solitaire enhanced by a glittering diamond pave shank.,1556,1888,2276,2606,2921,3456,3906,,1971,2303,2691,3021,3336,3871,4321,,2506,2838,3226,3556,3871,4406,4856
R-656421,Emerald Cut Diamond Bezel Eternity Band,bague ,emerald,,Unique and modern eternity band featuring continuous bezel-set emerald cut diamonds.,1522,1854,2242,2572,2887,3422,3872,,1937,2269,2657,2987,3302,3837,4287,,2472,2804,3192,3522,3837,4372,4822
R-674149,Men's Tension Set Diamond Band,bague ,round,,Contemporary men's wedding ring featuring a single round diamond in a sleek tension-style setting.,1179,1511,1899,2229,2544,3079,3529,,1594,1926,2314,2644,2959,3494,3944,,2129,2461,2849,3179,3494,4029,4479
R-692351,Heart Shape Diamond Eternity Band,bague ,hearth,,Romantic symbol of love featuring continuous heart-shaped diamonds in a shared prong setting.,877,1209,1597,1927,2242,2777,3227,,1292,1624,2012,2342,2657,3192,3642,,1827,2159,2547,2877,3192,3727,4177
R-693190,Round Diamond Halo Engagement Ring (Pave),bague ,round,,Classic round brilliant diamond surrounded by a dazzling halo on a diamond pave band.,1577,1909,2297,2627,2942,3477,3927,,1992,2324,2712,3042,3357,3892,4342,,2527,2859,3247,3577,3892,4427,4877
R-716514,Marquise Diamond Vintage Style Ring,bague ,marquise,,Ornate yellow gold ring featuring a marquise center with intricate filigree and black diamond accents.,1422,1754,2142,2472,2787,3322,3772,,1837,2169,2557,2887,3202,3737,4187,,2372,2704,3092,3422,3737,4272,4722
R-724472,Oval Diamond Engagement Ring (Hidden Halo),bague ,oval,,Sophisticated oval solitaire with a hidden halo detail and sparkling pave band.,1758,2090,2478,2808,3123,3658,4108,,2173,2505,2893,3223,3538,4073,4523,,2708,3040,3428,3758,4073,4608,5058
R-727787,Radiant Cut Diamond Solitaire Ring,bague ,oval,,Minimalist radiant/emerald cut diamond set in a sleek gold mounting.,1567,1899,2287,2617,2932,3467,3917,,1982,2314,2702,3032,3347,3882,4332,,2517,2849,3237,3567,3882,4417,4867
R-728469,Oval Diamond Solitaire Engagement Ring,bague ,round,,Timeless oval cut diamond featuring a classic 4-prong yellow gold setting.,1300,1632,2020,2350,2665,3200,3650,,1715,2047,2435,2765,3080,3615,4065,,2250,2582,2970,3300,3615,4150,4600
R-728795,Textured Diamond Band,bague ,round,,Unique rose gold band featuring a snakeskin-like texture and a bezel set round diamond.,1712,2044,2432,2762,3077,3612,4062,,2127,2459,2847,3177,3492,4027,4477,,2662,2994,3382,3712,4027,4562,5012
R-733043,Round Diamond Split Shank Ring (Pave),bague ,round,,Dramatic split shank design paved with diamonds leading to a brilliant round center.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-746661(1),Round Diamond Halo Solitaire Ring,bague ,per shape,,Perfect round brilliant diamond halo setting for maximum sparkle and fire.,1412,1744,2132,2462,2777,3312,3762,,1827,2159,2547,2877,3192,3727,4177,,2362,2694,3082,3412,3727,4262,4712
R-766861,Pear Shaped Diamond Engagement Ring (Pave),bague ,pear shape,,Elegant pear cut diamond set in rich yellow gold with a diamond encrusted band.,1682,2014,2402,2732,3047,3582,4032,,2097,2429,2817,3147,3462,3997,4447,,2632,2964,3352,3682,3997,4532,4982
R-770187,Pear Shaped Diamond Engagement Ring (Pave),bague ,oval,,Classic pear shaped solitaire ring enhanced by a shimmering micropave diamond shank.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-789410,Oval Diamond 3-Stone Ring with Pears,bague ,round,,Stunning oval center diamond flanked by two matching pear shape side stones.,1582,1914,2302,2632,2947,3482,3932,,1997,2329,2717,3047,3362,3897,4347,,2532,2864,3252,3582,3897,4432,4882
R-794136,Radiant Cut Diamond Ring (Twisted Band),bague ,radiant,,Radiant cut diamond set on a romantic twisted vine band paved with diamonds.,1472,1804,2192,2522,2837,3372,3822,,1887,2219,2607,2937,3252,3787,4237,,2422,2754,3142,3472,3787,4322,4772
R-830812,Round Diamond Pave Engagement Ring,bague ,round,,Classic round brilliant diamond set on a thin shimmering pave band.,1472,1804,2192,2522,2837,3372,3822,,1887,2219,2607,2937,3252,3787,4237,,2422,2754,3142,3472,3787,4322,4772
R-835610,Round Diamond Engagement Ring (Pave),bague ,round,,Timeless round solitaire on a delicate diamond-encrusted white gold band.,1417,1749,2137,2467,2782,3317,3767,,1832,2164,2552,2882,3197,3732,4182,,2367,2699,3087,3417,3732,4267,4717
R-856843,Diamond Floral / Cluster Ring (Semi-Mount),bague ,marquise,,Intricate yellow gold ring featuring a floral diamond cluster suitable for a center stone.,1572,1904,2292,2622,2937,3472,3922,,1987,2319,2707,3037,3352,3887,4337,,2522,2854,3242,3572,3887,4422,4872
R-857045,Radiant Cut Diamond Engagement Ring (Pave Band),bague ,radiant,,Stunning radiant cut diamond set in platinum with a sparkling diamond pave shank.,1459,1791,2179,2509,2824,3359,3809,,1874,2206,2594,2924,3239,3774,4224,,2409,2741,3129,3459,3774,4309,4759
R-864738,Radiant Cut Diamond Ring (Hidden Halo),bague ,radiant,,Modern radiant cut solitaire featuring a hidden halo detail and diamond pave band.,1536,1868,2256,2586,2901,3436,3886,,1951,2283,2671,3001,3316,3851,4301,,2486,2818,3206,3536,3851,4386,4836
R-868567,Radiant Cut Diamond Ring (Twisted Pave),bague ,radiant,,Romantic radiant cut diamond set on a twisted vine band with diamond accents.,1578,1910,2298,2628,2943,3478,3928,,1993,2325,2713,3043,3358,3893,4343,,2528,2860,3248,3578,3893,4428,4878
R-877223,Oval Diamond Engagement Ring (Floral Band),bague ,round,,Unique oval diamond ring featuring a band adorned with floral diamond clusters.,1675,2007,2395,2725,3040,3575,4025,,2090,2422,2810,3140,3455,3990,4440,,2625,2957,3345,3675,3990,4525,4975
R-884536,Round Diamond Engagement Ring (Pave Band),bague ,round,,Classic round solitaire set on a shimmering micropave diamond band.,1473,1805,2193,2523,2838,3373,3823,,1888,2220,2608,2938,3253,3788,4238,,2423,2755,3143,3473,3788,4323,4773
R-890124,Oval Diamond Solitaire Ring,bague ,oval,,Sleek and modern oval diamond solitaire set in white gold.,1585,1917,2305,2635,2950,3485,3935,,2000,2332,2720,3050,3365,3900,4350,,2535,2867,3255,3585,3900,4435,4885
R-893527,Round Diamond Engagement Ring (Detailed Band),bague ,rod,,Round brilliant diamond solitaire set on a band with intricate diamond detailing.,1657,1989,2377,2707,3022,3557,4007,,2072,2404,2792,3122,3437,3972,4422,,2607,2939,3327,3657,3972,4507,4957
R-922255,Round Diamond Solitaire Engagement Ring (6-Prong),bague ,round,,Classic round brilliant diamond solitaire held securely in a traditional 6-prong setting.,1352,1684,2072,2402,2717,3252,3702,,1767,2099,2487,2817,3132,3667,4117,,2302,2634,3022,3352,3667,4202,4652
R-926972,Radiant Cut Diamond Bezel Solitaire Ring,bague ,radiant,,Modern and protective bezel setting highlighting a crisp radiant cut diamond.,1457,1789,2177,2507,2822,3357,3807,,1872,2204,2592,2922,3237,3772,4222,,2407,2739,3127,3457,3772,4307,4757
R-934481,Oval Diamond Engagement Ring (Pave Band),bague ,oval,,Elegant oval diamond solitaire set on a shimmering micropave diamond shank.,1465,1797,2185,2515,2830,3365,3815,,1880,2212,2600,2930,3245,3780,4230,,2415,2747,3135,3465,3780,4315,4765
R-938581,Round Diamond Halo Split Shank Ring,bague ,round,,Stunning round diamond halo ring featuring a dramatic diamond-paved split shank.,1759,2091,2479,2809,3124,3659,4109,,2174,2506,2894,3224,3539,4074,4524,,2709,3041,3429,3759,4074,4609,5059
R-949118,Round Diamond Engagement Ring (Thick Pave Band),bague ,rond,,Brilliant round center stone supported by a substantial wide band encrusted with diamonds.,1789,2121,2509,2839,3154,3689,4139,,2204,2536,2924,3254,3569,4104,4554,,2739,3071,3459,3789,4104,4639,5089
R-957431,Oval Diamond Engagement Ring (Pave),bague ,oval,,Romantic rose gold engagement ring featuring an oval diamond on a delicate pave band.,1579,1911,2299,2629,2944,3479,3929,,1994,2326,2714,3044,3359,3894,4344,,2529,2861,3249,3579,3894,4429,4879
R-971648,Round Diamond Solitaire Engagement Ring,bague ,round,,Timeless round brilliant diamond solitaire featuring a classic 4-prong white gold setting.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
